lij[   0]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[   1]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[   2]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[   3]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[   4]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[   5]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[   6]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[   7]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[   8]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[   9]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  10]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  11]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  12]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  13]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  14]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  15]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  16]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  17]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  18]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  19]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  20]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  21]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  22]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  23]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  24]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  25]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  26]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  27]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  28]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  29]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  30]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  31]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  32]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  33]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  34]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  35]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  36]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  37]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  38]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  39]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  40]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  41]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  42]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  43]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  44]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  45]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  46]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  47]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  48]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  49]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  50]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  51]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  52]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  53]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  54]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  55]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  56]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  57]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  58]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  59]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  60]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  61]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  62]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  63]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  64]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  65]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  66]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  67]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
