lij[   0]:= b5c0, 35c0, c65f, c43e, 443e, c43e
lij[   1]:= b868, 3bd6, bd6e, c43e, 443e, c43e
lij[   2]:= aa40, 3dad, ad21, c43e, 443e, c43e
lij[   3]:= 3f54, 404c, 3e73, c43e, 443e, c43e
lij[   4]:= 391f, b798, be85, c43e, 443e, c43e
lij[   5]:= bdd7, c48c, 3dfb, c43e, 443e, c43e
lij[   6]:= 33ca, 36b9, 3d5b, c43e, 443e, c43e
lij[   7]:= 4082, 40cb, 443e, c43e, 443e, c43e
lij[   8]:= b41e, b9b7, 3a33, c43e, 443e, c43e
lij[   9]:= 342e, c2b6, b477, c43e, 443e, c43e
lij[  10]:= 4050, 411f, 4214, c43e, 443e, c43e
lij[  11]:= 3a74, 3a79, 4128, c43e, 443e, c43e
lij[  12]:= 40a0, 3dd0, 3ca3, c43e, 443e, c43e
lij[  13]:= b328, 351f, bef3, c43e, 443e, c43e
lij[  14]:= 360a, c1e0, b6b5, c43e, 443e, c43e
lij[  15]:= 0000, b665, 8000, c43e, 443e, c43e
lij[  16]:= 3704, b708, c603, c43e, 443e, c43e
lij[  17]:= bd32, c3a9, 3d5f, c43e, 443e, c43e
lij[  18]:= 3aa1, 3a25, 4164, c43e, 443e, c43e
lij[  19]:= 3103, b11b, c480, c43e, 443e, c43e
lij[  20]:= 3296, 33a9, 4126, c43e, 443e, c43e
lij[  21]:= 3df5, 4312, 3e78, c43e, 443e, c43e
lij[  22]:= b726, b88f, 4007, c43e, 443e, c43e
lij[  23]:= 33d2, b477, c162, c43e, 443e, c43e
lij[  24]:= 4238, c26f, c545, c43e, 443e, c43e
lij[  25]:= 2a80, ad11, bdd4, c43e, 443e, c43e
lij[  26]:= bd9c, 3e13, c312, c43e, 443e, c43e
lij[  27]:= 2c70, 0000, 0000, c43e, 443e, c43e
lij[  28]:= 3f4c, c295, c028, c43e, 443e, c43e
lij[  29]:= be58, 3edc, c2b6, c43e, 443e, c43e
lij[  30]:= b12b, 3dd5, b426, c43e, 443e, c43e
lij[  31]:= 32ff, 4032, 3477, c43e, 443e, c43e
lij[  32]:= 34ac, 3523, 2d81, c43e, 443e, c43e
lij[  33]:= b6b1, 36b9, c63d, c43e, 443e, c43e
lij[  34]:= 3e6e, 3f42, 4264, c43e, 443e, c43e
lij[  35]:= 3379, b4cd, c032, c43e, 443e, c43e
lij[  36]:= 32a6, 3659, 3c1e, c43e, 443e, c43e
lij[  37]:= 40db, c112, c45b, c43e, 443e, c43e
lij[  38]:= 35c8, 3544, 319c, c43e, 443e, c43e
lij[  39]:= 8000, 0000, bc14, c43e, 443e, c43e
lij[  40]:= c004, bcb1, 3c39, c43e, 443e, c43e
lij[  41]:= 39a1, 3ccc, 3de9, c43e, 443e, c43e
lij[  42]:= 36ca, bf97, b8a4, c43e, 443e, c43e
lij[  43]:= a280, 3d7c, a500, c43e, 443e, c43e
lij[  44]:= adb1, 320d, b2ef, c43e, 443e, c43e
lij[  45]:= 3360, 3cb2, 3704, c43e, 443e, c43e
lij[  46]:= be58, 458b, be61, c43e, 443e, c43e
lij[  47]:= bff5, c1b3, 3f35, c43e, 443e, c43e
lij[  48]:= 2100, 2d51, 3153, c43e, 443e, c43e
lij[  49]:= be85, 3fe9, c1a2, c43e, 443e, c43e
lij[  50]:= 3276, c0ab, b381, c43e, 443e, c43e
lij[  51]:= b6b5, bae8, 34b9, c43e, 443e, c43e
lij[  52]:= b5f1, 3edf, b852, c43e, 443e, c43e
lij[  53]:= 304a, be78, b265, c43e, 443e, c43e
lij[  54]:= b879, 3fb6, b96b, c43e, 443e, c43e
lij[  55]:= 3950, 3b07, 401e, c43e, 443e, c43e
lij[  56]:= 2580, 3265, 3307, c43e, 443e, c43e
lij[  57]:= 31e4, 3265, 426b, c43e, 443e, c43e
lij[  58]:= b379, 3993, b9b9, c43e, 443e, c43e
lij[  59]:= b84a, 362f, b07a, c43e, 443e, c43e
lij[  60]:= b8d4, bc05, 3cdb, c43e, 443e, c43e
lij[  61]:= 3e9b, 3ea3, 463d, c43e, 443e, c43e
lij[  62]:= c244, c55e, 4279, c43e, 443e, c43e
lij[  63]:= 3adf, 405b, 3c79, c43e, 443e, c43e
lij[  64]:= 3fbd, 40a6, 41fb, c43e, 443e, c43e
lij[  65]:= 352b, bd1a, b651, c43e, 443e, c43e
lij[  66]:= b900, 3a66, c05b, c43e, 443e, c43e
lij[  67]:= 3854, 3a3c, 3f1b, c43e, 443e, c43e
lij[  68]:= 416d, c392, c23b, c43e, 443e, c43e
lij[  69]:= c084, 42de, c13b, c43e, 443e, c43e
