lij[   0]:= be61, 449e, be8e, c2af, 42af, c3f7
lij[   1]:= 4206, c4a5, c26f, c2af, 42af, c3f7
lij[   2]:= bcc6, bd84, 41bf, c2af, 42af, c3f7
lij[   3]:= c0dd, c09f, 3fb9, c2af, 42af, c3f7
lij[   4]:= b67e, 3e4c, b4fa, c2af, 42af, c3f7
lij[   5]:= bed6, c5d4, 3edc, c2af, 42af, c3f7
lij[   6]:= b852, b852, 4738, c2af, 42af, c3f7
lij[   7]:= 46b5, 46b5, 47a0, c2af, 42af, c3f7
lij[   8]:= 40db, c0da, c518, c2af, 42af, c3f7
lij[   9]:= 4235, c23b, c6ee, c2af, 42af, c3f7
lij[  10]:= 30c2, 3113, 4264, c2af, 42af, c3f7
lij[  11]:= 44a5, 4264, 423e, c2af, 42af, c3f7
lij[  12]:= 3d13, 39f2, 3ddc, c2af, 42af, c3f7
lij[  13]:= 3d42, be4f, c16d, c2af, 42af, c3f7
lij[  14]:= 345b, 34c9, 4209, c2af, 42af, c3f7
lij[  15]:= c7a0, c7a0, 47a0, c2af, 42af, c3f7
lij[  16]:= 44e9, c4e9, c7a0, c2af, 42af, c3f7
lij[  17]:= b7cf, b7ec, 4419, c2af, 42af, c3f7
lij[  18]:= 307a, 3009, 41e8, c2af, 42af, c3f7
lij[  19]:= 3477, b477, c65f, c2af, 42af, c3f7
lij[  20]:= b527, c342, 356d, c2af, 42af, c3f7
lij[  21]:= 4686, 46b5, 4738, c2af, 42af, c3f7
lij[  22]:= bd84, c4ba, 3d65, c2af, 42af, c3f7
lij[  23]:= c1f8, 4203, c61e, c2af, 42af, c3f7
lij[  24]:= 3c94, bcf5, c2de, c2af, 42af, c3f7
lij[  25]:= 42a0, c25b, c522, c2af, 42af, c3f7
lij[  26]:= c1bd, 4545, c1e8, c2af, 42af, c3f7
lij[  27]:= c22f, 8000, 0000, c2af, 42af, c3f7
lij[  28]:= 4386, c49e, c447, c2af, 42af, c3f7
lij[  29]:= be27, 3e15, c545, c2af, 42af, c3f7
lij[  30]:= 38be, 3e4f, 3b84, c2af, 42af, c3f7
lij[  31]:= bb9f, bc29, 428a, c2af, 42af, c3f7
lij[  32]:= b84e, 34ee, b12b, c2af, 42af, c3f7
lij[  33]:= bc79, 3c79, c7a0, c2af, 42af, c3f7
lij[  34]:= c61e, c5eb, 4686, c2af, 42af, c3f7
lij[  35]:= 3ae6, 3c3d, 40d6, c2af, 42af, c3f7
lij[  36]:= 32ae, b340, c0ae, c2af, 42af, c3f7
lij[  37]:= 0000, bd7e, 8000, c2af, 42af, c3f7
lij[  38]:= 458b, 389c, 38a4, c2af, 42af, c3f7
lij[  39]:= aba1, 2ba1, c686, c2af, 42af, c3f7
lij[  40]:= c3f7, bd07, 3d45, c2af, 42af, c3f7
lij[  41]:= be89, 43c8, bef3, c2af, 42af, c3f7
lij[  42]:= 4238, c2de, c45b, c2af, 42af, c3f7
lij[  43]:= c244, c3f0, 419e, c2af, 42af, c3f7
lij[  44]:= c325, 3c0b, bc02, c2af, 42af, c3f7
lij[  45]:= 449e, c4e0, c52d, c2af, 42af, c3f7
lij[  46]:= b655, 40be, b7a9, c2af, 42af, c3f7
lij[  47]:= bc1e, 4149, bbf0, c2af, 42af, c3f7
lij[  48]:= 4419, 408d, 40a0, c2af, 42af, c3f7
lij[  49]:= 41e8, 42e7, 43bc, c2af, 42af, c3f7
lij[  50]:= ac60, 2d01, c0c6, c2af, 42af, c3f7
lij[  51]:= 3c14, bc4a, b88a, c2af, 42af, c3f7
lij[  52]:= b4b1, c46f, 34cd, c2af, 42af, c3f7
lij[  53]:= 465f, c738, c686, c2af, 42af, c3f7
lij[  54]:= 3882, 385f, 4251, c2af, 42af, c3f7
lij[  55]:= 3c90, 3ca2, 4504, c2af, 42af, c3f7
lij[  56]:= 30fb, b1c4, c143, c2af, 42af, c3f7
lij[  57]:= 4447, 44e0, 44f2, c2af, 42af, c3f7
lij[  58]:= b697, 3700, c2c2, c2af, 42af, c3f7
lij[  59]:= 43f7, 371d, 3758, c2af, 42af, c3f7
lij[  60]:= b0e2, c03d, 3153, c2af, 42af, c3f7
lij[  61]:= 3708, 47a0, 3708, c2af, 42af, c3f7
lij[  62]:= c435, c435, 47a0, c2af, 42af, c3f7
lij[  63]:= 3092, bd84, b3a9, c2af, 42af, c3f7
lij[  64]:= 3ffe, 3ff5, 465f, c2af, 42af, c3f7
lij[  65]:= 37ec, c0a3, b693, c2af, 42af, c3f7
lij[  66]:= 3fdb, c05b, c325, c2af, 42af, c3f7
lij[  67]:= b57e, bd1c, 38f3, c2af, 42af, c3f7
lij[  68]:= 46b5, c6b5, c7a0, c2af, 42af, c3f7
