lij[   0]:= ba0e, bc8d, 3ef3, 4141, c141, c3f7
lij[   1]:= be78, c7a0, 3e78, 4141, c141, c3f7
lij[   2]:= 365d, c342, b6b9, 4141, c141, c3f7
lij[   3]:= c08b, c0df, 3f0d, 4141, c141, c3f7
lij[   4]:= 4001, 3e5a, 3d59, 4141, c141, c3f7
lij[   5]:= bea3, c6b5, 3e9f, 4141, c141, c3f7
lij[   6]:= bdff, bdff, 47a0, 4141, c141, c3f7
lij[   7]:= 4050, 47a0, 4050, 4141, c141, c3f7
lij[   8]:= 3e3c, be30, c5ad, 4141, c141, c3f7
lij[   9]:= 4518, c6b5, c539, 4141, c141, c3f7
lij[  10]:= c212, c1e6, 4551, 4141, c141, c3f7
lij[  11]:= 42e7, 428a, 4158, 4141, c141, c3f7
lij[  12]:= 456c, 3dd9, 3de9, 4141, c141, c3f7
lij[  13]:= 4299, c5d4, c2b3, 4141, c141, c3f7
lij[  14]:= bb70, c209, 3c26, 4141, c141, c3f7
lij[  15]:= c7a0, c7a0, 47a0, 4141, c141, c3f7
lij[  16]:= 3e27, be27, c7a0, 4141, c141, c3f7
lij[  17]:= c0ff, c238, 421d, 4141, c141, c3f7
lij[  18]:= 32a6, b4a0, bd6b, 4141, c141, c3f7
lij[  19]:= 4492, c475, c65f, 4141, c141, c3f7
lij[  20]:= c0db, 43af, c164, 4141, c141, c3f7
lij[  21]:= 47a0, 47a0, 47a0, 4141, c141, c3f7
lij[  22]:= c2b6, c4ba, 4247, 4141, c141, c3f7
lij[  23]:= bf5b, 4738, bf5b, 4141, c141, c3f7
lij[  24]:= 47a0, c7a0, c7a0, 4141, c141, c3f7
lij[  25]:= 3dd5, bdc0, c522, 4141, c141, c3f7
lij[  26]:= bd3e, 44ba, bd5b, 4141, c141, c3f7
lij[  27]:= 40c4, 0000, 0000, 4141, c141, c3f7
lij[  28]:= bc50, c738, 3c51, 4141, c141, c3f7
lij[  29]:= 4009, bff0, c551, 4141, c141, c3f7
lij[  30]:= b9ee, c46a, 3a13, 4141, c141, c3f7
lij[  31]:= ae61, ae61, 47a0, 4141, c141, c3f7
lij[  32]:= 3dc0, 3708, 344f, 4141, c141, c3f7
lij[  33]:= 41bd, c312, c325, 4141, c141, c3f7
lij[  34]:= c6b5, c63d, 46b5, 4141, c141, c3f7
lij[  35]:= 3cc3, c4a5, bcdf, 4141, c141, c3f7
lij[  36]:= 32be, bbf0, b6a8, 4141, c141, c3f7
lij[  37]:= 3da3, bda7, c551, 4141, c141, c3f7
lij[  38]:= 44c8, 38a0, 3893, 4141, c141, c3f7
lij[  39]:= 442d, c6b5, c43a, 4141, c141, c3f7
lij[  40]:= c7a0, bd45, 3d45, 4141, c141, c3f7
lij[  41]:= c1bd, 444c, c244, 4141, c141, c3f7
lij[  42]:= 463d, c63d, c7a0, 4141, c141, c3f7
lij[  43]:= c6b5, c3f7, 43fe, 4141, c141, c3f7
lij[  44]:= c518, 3c29, bc1a, 4141, c141, c3f7
lij[  45]:= c460, c4e0, 44c8, 4141, c141, c3f7
lij[  46]:= b827, 3827, c6b5, 4141, c141, c3f7
lij[  47]:= be4c, 3d97, c238, 4141, c141, c3f7
lij[  48]:= 4132, 3f31, 40c1, 4141, c141, c3f7
lij[  49]:= 3962, ba66, c113, 4141, c141, c3f7
lij[  50]:= 3c9b, 3c81, 443a, 4141, c141, c3f7
lij[  51]:= aba1, 2820, bcca, 4141, c141, c3f7
lij[  52]:= 2500, a500, c46f, 4141, c141, c3f7
