lij[   0]:= b60a, 3852, bf09, 416b, c16b, c35b
lij[   1]:= 4047, c15a, c1fe, 416b, c16b, c35b
lij[   2]:= c435, c7a0, 4435, 416b, c16b, c35b
lij[   3]:= be13, c113, 3ceb, 416b, c16b, c35b
lij[   4]:= 4360, bf1b, be99, 416b, c16b, c35b
lij[   5]:= bf40, c4ba, 3f6a, 416b, c16b, c35b
lij[   6]:= c686, c686, 47a0, 416b, c16b, c35b
lij[   7]:= 47a0, 47a0, 47a0, 416b, c16b, c35b
lij[   8]:= c39d, 4360, c5ad, 416b, c16b, c35b
lij[   9]:= 424e, c24e, c7a0, 416b, c16b, c35b
lij[  10]:= 44fb, 447a, 4551, 416b, c16b, c35b
lij[  11]:= 4443, 428a, 41ee, 416b, c16b, c35b
lij[  12]:= 4686, 3de6, 3de9, 416b, c16b, c35b
lij[  13]:= 2d31, b8cb, b477, 416b, c16b, c35b
lij[  14]:= 4145, c141, c6b5, 416b, c16b, c35b
lij[  15]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[  16]:= 42be, c2be, c7a0, 416b, c16b, c35b
lij[  17]:= 4158, 4251, 42a4, 416b, c16b, c35b
lij[  18]:= c7a0, c1f3, 41f3, 416b, c16b, c35b
lij[  19]:= c45b, 4443, c65f, 416b, c16b, c35b
lij[  20]:= c12c, 44c8, c164, 416b, c16b, c35b
lij[  21]:= 42a0, 42a0, 47a0, 416b, c16b, c35b
lij[  22]:= c5d4, c4ba, 447a, 416b, c16b, c35b
lij[  23]:= c32e, 46b5, c333, 416b, c16b, c35b
lij[  24]:= 3947, c7a0, b947, 416b, c16b, c35b
lij[  25]:= 459b, c4b3, c522, 416b, c16b, c35b
lij[  26]:= 440d, c4d0, c49e, 416b, c16b, c35b
lij[  27]:= b933, 8000, 0000, 416b, c16b, c35b
lij[  28]:= 43a9, c7a0, c3a9, 416b, c16b, c35b
lij[  29]:= bd6e, 3d5f, c551, 416b, c16b, c35b
lij[  30]:= 4009, c7a0, c009, 416b, c16b, c35b
lij[  31]:= 43f0, 43f0, 47a0, 416b, c16b, c35b
lij[  32]:= c686, 3708, b704, 416b, c16b, c35b
lij[  33]:= 443a, c43a, c7a0, 416b, c16b, c35b
lij[  34]:= c26f, c264, 46b5, 416b, c16b, c35b
lij[  35]:= 3f31, bf31, c7a0, 416b, c16b, c35b
lij[  36]:= c3dc, 4325, c21a, 416b, c16b, c35b
lij[  37]:= c3af, 447a, c443, 416b, c16b, c35b
lij[  38]:= 47a0, 38a4, 38a4, 416b, c16b, c35b
lij[  39]:= 431b, c338, c63d, 416b, c16b, c35b
lij[  40]:= b612, b2f7, 3d45, 416b, c16b, c35b
lij[  41]:= c3cf, 43cf, c7a0, 416b, c16b, c35b
lij[  42]:= c113, 4113, c7a0, 416b, c16b, c35b
lij[  43]:= c61e, c3d5, 4402, 416b, c16b, c35b
lij[  44]:= 47a0, bc29, bc29, 416b, c16b, c35b
lij[  45]:= c551, 4551, c5ad, 416b, c16b, c35b
lij[  46]:= 3cb7, bcb5, c6b5, 416b, c16b, c35b
lij[  47]:= c4d0, 4244, c1f3, 416b, c16b, c35b
lij[  48]:= bd38, bc30, 40ab, 416b, c16b, c35b
lij[  49]:= b9c0, 39c0, c7a0, 416b, c16b, c35b
lij[  50]:= 4015, bff7, c419, 416b, c16b, c35b
lij[  51]:= 43c2, bcb8, bca2, 416b, c16b, c35b
lij[  52]:= 3a66, c07a, bc14, 416b, c16b, c35b
lij[  53]:= 4451, c7a0, c451, 416b, c16b, c35b
lij[  54]:= bca1, bc54, 4312, 416b, c16b, c35b
