lji[   0]:= 49a5, 49a5, 4c37, 4c2b, 4c40, 4d21
lji[   1]:= c8fa, c8fa, 4c37, 4c2b, 4c40, 4d21
lji[   2]:= 30c1, 30c1, 4c37, 4c2b, 4c40, 4d21
lji[   3]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[   4]:= 4c92, 4c92, 4c37, 4c2b, 4c40, 4d21
lji[   5]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[   6]:= 4ac3, 4ac3, 4c37, 4c2b, 4c40, 4d21
lji[   7]:= 4475, 4475, 4c37, 4c2b, 4c40, 4d21
lji[   8]:= 484f, 484f, 4c37, 4c2b, 4c40, 4d21
lji[   9]:= 44e7, 44e7, 4c37, 4c2b, 4c40, 4d21
lji[  10]:= c403, c403, 4c37, 4c2b, 4c40, 4d21
lji[  11]:= c664, c664, 4c37, 4c2b, 4c40, 4d21
lji[  12]:= c322, c322, 4c37, 4c2b, 4c40, 4d21
lji[  13]:= 4075, 4075, 4c37, 4c2b, 4c40, 4d21
lji[  14]:= 497f, 497f, 4c37, 4c2b, 4c40, 4d21
lji[  15]:= c1f1, c1f1, 4c37, 4c2b, 4c40, 4d21
lji[  16]:= 4920, 4920, 4c37, 4c2b, 4c40, 4d21
lji[  17]:= 4618, 4618, 4c37, 4c2b, 4c40, 4d21
lji[  18]:= c8c1, c8c1, 4c37, 4c2b, 4c40, 4d21
lji[  19]:= 484f, 484f, 4c37, 4c2b, 4c40, 4d21
lji[  20]:= 4946, 4946, 4c37, 4c2b, 4c40, 4d21
lji[  21]:= 4075, 4075, 4c37, 4c2b, 4c40, 4d21
lji[  22]:= 4664, 4664, 4c37, 4c2b, 4c40, 4d21
lji[  23]:= 41a5, 41a5, 4c37, 4c2b, 4c40, 4d21
lji[  24]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[  25]:= c63e, c63e, 4c37, 4c2b, 4c40, 4d21
lji[  26]:= 49cb, 49cb, 4c37, 4c2b, 4c40, 4d21
lji[  27]:= c96c, c96c, 4c37, 4c2b, 4c40, 4d21
lji[  28]:= 46b0, 46b0, 4c37, 4c2b, 4c40, 4d21
lji[  29]:= 4322, 4322, 4c37, 4c2b, 4c40, 4d21
lji[  30]:= 3d59, 3d59, 4c37, 4c2b, 4c40, 4d21
lji[  31]:= 4862, 4862, 4c37, 4c2b, 4c40, 4d21
lji[  32]:= 468a, 468a, 4c37, 4c2b, 4c40, 4d21
lji[  33]:= c875, c875, 4c37, 4c2b, 4c40, 4d21
lji[  34]:= c618, c618, 4c37, 4c2b, 4c40, 4d21
lji[  35]:= 4875, 4875, 4c37, 4c2b, 4c40, 4d21
lji[  36]:= c36e, c36e, 4c37, 4c2b, 4c40, 4d21
lji[  37]:= 4a3e, 4a3e, 4c37, 4c2b, 4c40, 4d21
lji[  38]:= 46fc, 46fc, 4c37, 4c2b, 4c40, 4d21
lji[  39]:= c36e, c36e, 4c37, 4c2b, 4c40, 4d21
lji[  40]:= 436e, 436e, 4c37, 4c2b, 4c40, 4d21
lji[  41]:= c794, c794, 4c37, 4c2b, 4c40, 4d21
lji[  42]:= b8c1, b8c1, 4c37, 4c2b, 4c40, 4d21
lji[  43]:= c5f1, c5f1, 4c37, 4c2b, 4c40, 4d21
lji[  44]:= 38c1, 38c1, 4c37, 4c2b, 4c40, 4d21
lji[  45]:= 436e, 436e, 4c37, 4c2b, 4c40, 4d21
lji[  46]:= be8a, be8a, 4c37, 4c2b, 4c40, 4d21
lji[  47]:= 46b0, 46b0, 4c37, 4c2b, 4c40, 4d21
lji[  48]:= 45f1, 45f1, 4c37, 4c2b, 4c40, 4d21
lji[  49]:= c7e0, c7e0, 4c37, 4c2b, 4c40, 4d21
lji[  50]:= c8d4, c8d4, 4c37, 4c2b, 4c40, 4d21
lji[  51]:= 39f1, 39f1, 4c37, 4c2b, 4c40, 4d21
lji[  52]:= c5a5, c5a5, 4c37, 4c2b, 4c40, 4d21
lji[  53]:= 42d6, 42d6, 4c37, 4c2b, 4c40, 4d21
