lji[   0]:= 49a5, 49e4, c43e, c43e, c43e, 0000
lji[   1]:= c8fa, c8fb, c43e, c43e, c43e, 0000
lji[   2]:= 30c1, bab3, c43e, c43e, c43e, 0000
lji[   3]:= 40c1, 4131, c43e, c43e, c43e, 0000
lji[   4]:= 4c92, 4c89, c43e, c43e, c43e, 0000
lji[   5]:= c429, c226, c43e, c43e, c43e, 0000
lji[   6]:= 4ac3, 4acf, c43e, c43e, c43e, 0000
lji[   7]:= 4475, 4442, c43e, c43e, c43e, 0000
lji[   8]:= 484f, 44ad, c43e, c43e, c43e, 0000
lji[   9]:= 44e7, 45eb, c43e, c43e, c43e, 0000
lji[  10]:= c403, c581, c43e, c43e, c43e, 0000
lji[  11]:= c664, c62b, c43e, c43e, c43e, 0000
lji[  12]:= c322, c508, c43e, c43e, c43e, 0000
lji[  13]:= 4075, 4079, c43e, c43e, c43e, 0000
lji[  14]:= 497f, 499d, c43e, c43e, c43e, 0000
lji[  15]:= c1f1, c212, c43e, c43e, c43e, 0000
lji[  16]:= 4920, 48bc, c43e, c43e, c43e, 0000
lji[  17]:= 4618, 461a, c43e, c43e, c43e, 0000
lji[  18]:= c8c1, c943, c43e, c43e, c43e, 0000
lji[  19]:= 484f, 4872, c43e, c43e, c43e, 0000
lji[  20]:= 4946, 4946, c43e, c43e, c43e, 0000
lji[  21]:= 4075, 3fd6, c43e, c43e, c43e, 0000
lji[  22]:= 4664, 458f, c43e, c43e, c43e, 0000
lji[  23]:= 41a5, 41b2, c43e, c43e, c43e, 0000
lji[  24]:= 4888, 4881, c43e, c43e, c43e, 0000
lji[  25]:= c63e, c67e, c43e, c43e, c43e, 0000
lji[  26]:= 49cb, 49cb, c43e, c43e, c43e, 0000
lji[  27]:= c96c, c96c, c43e, c43e, c43e, 0000
lji[  28]:= 46b0, 46c6, c43e, c43e, c43e, 0000
lji[  29]:= 4322, 42ae, c43e, c43e, c43e, 0000
lji[  30]:= 3d59, 3cbd, c43e, c43e, c43e, 0000
lji[  31]:= 4862, 48e7, c43e, c43e, c43e, 0000
lji[  32]:= 468a, 4835, c43e, c43e, c43e, 0000
lji[  33]:= c875, c844, c43e, c43e, c43e, 0000
lji[  34]:= c618, c5e5, c43e, c43e, c43e, 0000
lji[  35]:= 4875, 48ad, c43e, c43e, c43e, 0000
lji[  36]:= c36e, c36e, c43e, c43e, c43e, 0000
lji[  37]:= 4a3e, 4a2b, c43e, c43e, c43e, 0000
lji[  38]:= 46fc, 4805, c43e, c43e, c43e, 0000
lji[  39]:= c36e, c368, c43e, c43e, c43e, 0000
lji[  40]:= 436e, 436e, c43e, c43e, c43e, 0000
lji[  41]:= c794, c815, c43e, c43e, c43e, 0000
lji[  42]:= b8c1, b45b, c43e, c43e, c43e, 0000
lji[  43]:= c5f1, c588, c43e, c43e, c43e, 0000
lji[  44]:= 38c1, 3f66, c43e, c43e, c43e, 0000
