lji[   0]:= 4892, 4977, b340, b320, bb40, 4415
lji[   1]:= c8d2, c8f8, b340, b320, bb40, 4415
lji[   2]:= aa50, bcd3, b340, b320, bb40, 4415
lji[   3]:= 3f66, 46c6, b340, b320, bb40, 4415
lji[   4]:= 4c4a, 4cbe, b340, b320, bb40, 4415
lji[   5]:= c474, bd84, b340, b320, bb40, 4415
lji[   6]:= 4acd, 4997, b340, b320, bb40, 4415
lji[   7]:= 48dd, 4366, b340, b320, bb40, 4415
lji[   8]:= 47cc, 4b39, b340, b320, bb40, 4415
lji[   9]:= 4650, 482c, b340, b320, bb40, 4415
lji[  10]:= c31b, c5fe, b340, b320, bb40, 4415
lji[  11]:= c77c, c8a4, b340, b320, bb40, 4415
lji[  12]:= c6bb, c5d4, b340, b320, bb40, 4415
lji[  13]:= 42ba, 407c, b340, b320, bb40, 4415
lji[  14]:= 49a2, 49c7, b340, b320, bb40, 4415
lji[  15]:= c195, be63, b340, b320, bb40, 4415
lji[  16]:= 492d, 4927, b340, b320, bb40, 4415
lji[  17]:= 4782, 45e2, b340, b320, bb40, 4415
lji[  18]:= c5ca, c865, b340, b320, bb40, 4415
lji[  19]:= 4a82, 4870, b340, b320, bb40, 4415
lji[  20]:= 49f8, 4977, b340, b320, bb40, 4415
lji[  21]:= 3be0, 4104, b340, b320, bb40, 4415
lji[  22]:= 466c, 47e8, b340, b320, bb40, 4415
lji[  23]:= 3d52, 4315, b340, b320, bb40, 4415
lji[  24]:= 4939, 48cd, b340, b320, bb40, 4415
lji[  25]:= c47f, c77f, b340, b320, bb40, 4415
lji[  26]:= 49f4, 49ca, b340, b320, bb40, 4415
lji[  27]:= c87c, c97d, b340, b320, bb40, 4415
lji[  28]:= 4832, 4656, b340, b320, bb40, 4415
lji[  29]:= 44f6, 42ef, b340, b320, bb40, 4415
lji[  30]:= 3d59, 3e50, b340, b320, bb40, 4415
lji[  31]:= 4858, 4959, b340, b320, bb40, 4415
lji[  32]:= 45a2, 4881, b340, b320, bb40, 4415
lji[  33]:= c4f9, c87f, b340, b320, bb40, 4415
lji[  34]:= c5ca, c420, b340, b320, bb40, 4415
lji[  35]:= 47fc, 482a, b340, b320, bb40, 4415
lji[  36]:= c20a, c1af, b340, b320, bb40, 4415
lji[  37]:= 48de, 4a24, b340, b320, bb40, 4415
lji[  38]:= 4804, 47ec, b340, b320, bb40, 4415
lji[  39]:= c4ba, c49a, b340, b320, bb40, 4415
lji[  40]:= 44f9, 46b8, b340, b320, bb40, 4415
lji[  41]:= c5f3, c844, b340, b320, bb40, 4415
lji[  42]:= 42ac, c1a1, b340, b320, bb40, 4415
lji[  43]:= c5f2, c585, b340, b320, bb40, 4415
lji[  44]:= 415b, 40bb, b340, b320, bb40, 4415
lji[  45]:= 4331, 4419, b340, b320, bb40, 4415
lji[  46]:= 4016, be73, b340, b320, bb40, 4415
lji[  47]:= 4849, 486e, b340, b320, bb40, 4415
lji[  48]:= 462e, 46e1, b340, b320, bb40, 4415
lji[  49]:= c66b, c4a2, b340, b320, bb40, 4415
lji[  50]:= c8da, c884, b340, b320, bb40, 4415
lji[  51]:= 3d80, bf24, b340, b320, bb40, 4415
