lji[   0]:= 48eb, 4975, c7ac, c62c, c817, c1cd
lji[   1]:= c868, c8db, c7ac, c62c, c817, c1cd
lji[   2]:= bdfe, beb2, c7ac, c62c, c817, c1cd
lji[   3]:= 4002, 402b, c7ac, c62c, c817, c1cd
lji[   4]:= 4c38, 4c5c, c7ac, c62c, c817, c1cd
lji[   5]:= c43d, c144, c7ac, c62c, c817, c1cd
lji[   6]:= 4bc2, 4c6e, c7ac, c62c, c817, c1cd
lji[   7]:= 4754, 3440, c7ac, c62c, c817, c1cd
lji[   8]:= 45fa, 4b39, c7ac, c62c, c817, c1cd
lji[   9]:= 4453, 4982, c7ac, c62c, c817, c1cd
lji[  10]:= bc66, c0da, c7ac, c62c, c817, c1cd
lji[  11]:= c673, ca75, c7ac, c62c, c817, c1cd
lji[  12]:= c58f, c5ae, c7ac, c62c, c817, c1cd
lji[  13]:= 411e, 43a0, c7ac, c62c, c817, c1cd
lji[  14]:= 49a1, 48e8, c7ac, c62c, c817, c1cd
lji[  15]:= bcb3, c5bc, c7ac, c62c, c817, c1cd
lji[  16]:= 488b, 48ad, c7ac, c62c, c817, c1cd
lji[  17]:= 459a, 460d, c7ac, c62c, c817, c1cd
lji[  18]:= c987, c8eb, c7ac, c62c, c817, c1cd
lji[  19]:= 4ad1, 4840, c7ac, c62c, c817, c1cd
lji[  20]:= 487c, 48b8, c7ac, c62c, c817, c1cd
lji[  21]:= 43f6, 4206, c7ac, c62c, c817, c1cd
lji[  22]:= 4935, 4621, c7ac, c62c, c817, c1cd
lji[  23]:= 4423, 4476, c7ac, c62c, c817, c1cd
lji[  24]:= 49c5, 4883, c7ac, c62c, c817, c1cd
lji[  25]:= c9c8, c6fe, c7ac, c62c, c817, c1cd
lji[  26]:= 4745, 48af, c7ac, c62c, c817, c1cd
lji[  27]:= cb71, c907, c7ac, c62c, c817, c1cd
lji[  28]:= 4615, 45bc, c7ac, c62c, c817, c1cd
lji[  29]:= 4865, 4374, c7ac, c62c, c817, c1cd
lji[  30]:= 39bf, 3e94, c7ac, c62c, c817, c1cd
lji[  31]:= 4973, 4858, c7ac, c62c, c817, c1cd
lji[  32]:= 4617, 41a4, c7ac, c62c, c817, c1cd
lji[  33]:= ca04, ca90, c7ac, c62c, c817, c1cd
lji[  34]:= c81d, c074, c7ac, c62c, c817, c1cd
lji[  35]:= 45ee, 48c3, c7ac, c62c, c817, c1cd
lji[  36]:= c33d, c53f, c7ac, c62c, c817, c1cd
lji[  37]:= 46f1, 4a0f, c7ac, c62c, c817, c1cd
lji[  38]:= 443d, 4755, c7ac, c62c, c817, c1cd
lji[  39]:= c676, c0ac, c7ac, c62c, c817, c1cd
lji[  40]:= 4660, 48b2, c7ac, c62c, c817, c1cd
lji[  41]:= c46a, c898, c7ac, c62c, c817, c1cd
lji[  42]:= bc22, c266, c7ac, c62c, c817, c1cd
lji[  43]:= c624, c46e, c7ac, c62c, c817, c1cd
lji[  44]:= 4088, 41e1, c7ac, c62c, c817, c1cd
lji[  45]:= 3618, 4419, c7ac, c62c, c817, c1cd
lji[  46]:= 4205, c299, c7ac, c62c, c817, c1cd
lji[  47]:= 46ff, 4540, c7ac, c62c, c817, c1cd
lji[  48]:= 4610, 4736, c7ac, c62c, c817, c1cd
lji[  49]:= c517, ca25, c7ac, c62c, c817, c1cd
lji[  50]:= c7fe, c94e, c7ac, c62c, c817, c1cd
lji[  51]:= 3eaa, 3991, c7ac, c62c, c817, c1cd
lji[  52]:= c5e0, c4b6, c7ac, c62c, c817, c1cd
lji[  53]:= 417a, 4220, c7ac, c62c, c817, c1cd
lji[  54]:= 4a0f, 4ae2, c7ac, c62c, c817, c1cd
lji[  55]:= c6b5, c60d, c7ac, c62c, c817, c1cd
lji[  56]:= 4bb9, 4bb2, c7ac, c62c, c817, c1cd
lji[  57]:= c8ef, c78d, c7ac, c62c, c817, c1cd
lji[  58]:= c20c, c12e, c7ac, c62c, c817, c1cd
lji[  59]:= 3590, c1fe, c7ac, c62c, c817, c1cd
lji[  60]:= 4805, 4803, c7ac, c62c, c817, c1cd
lji[  61]:= ca24, ca7c, c7ac, c62c, c817, c1cd
lji[  62]:= 4ac4, 494d, c7ac, c62c, c817, c1cd
lji[  63]:= 48f6, 4625, c7ac, c62c, c817, c1cd
lji[  64]:= 4929, 4485, c7ac, c62c, c817, c1cd
lji[  65]:= c9c9, c974, c7ac, c62c, c817, c1cd
lji[  66]:= c2d7, c461, c7ac, c62c, c817, c1cd
lji[  67]:= c47f, c22c, c7ac, c62c, c817, c1cd
lji[  68]:= cbf2, c90e, c7ac, c62c, c817, c1cd
lji[  69]:= 43c3, 474b, c7ac, c62c, c817, c1cd
lji[  70]:= 4b39, 4a8a, c7ac, c62c, c817, c1cd
lji[  71]:= c608, bc6a, c7ac, c62c, c817, c1cd
lji[  72]:= 47e8, 4838, c7ac, c62c, c817, c1cd
lji[  73]:= 46d2, 424a, c7ac, c62c, c817, c1cd
lji[  74]:= c84a, c8bc, c7ac, c62c, c817, c1cd
lji[  75]:= 496b, 46b2, c7ac, c62c, c817, c1cd
lji[  76]:= 3f16, c15e, c7ac, c62c, c817, c1cd
