lji[   0]:= 489d, 49a5, c76e, c5d9, c826, c25c
lji[   1]:= c881, c8ed, c76e, c5d9, c826, c25c
lji[   2]:= 30c1, 3dfd, c76e, c5d9, c826, c25c
lji[   3]:= 4181, c199, c76e, c5d9, c826, c25c
lji[   4]:= 4b97, 4c92, c76e, c5d9, c826, c25c
lji[   5]:= c6bb, c50b, c76e, c5d9, c826, c25c
lji[   6]:= 4adc, 4cb6, c76e, c5d9, c826, c25c
lji[   7]:= 47b3, 445a, c76e, c5d9, c826, c25c
lji[   8]:= 4845, 4b6e, c76e, c5d9, c826, c25c
lji[   9]:= 44af, 47ba, c76e, c5d9, c826, c25c
lji[  10]:= c8bf, 3c54, c76e, c5d9, c826, c25c
lji[  11]:= c692, ca8c, c76e, c5d9, c826, c25c
lji[  12]:= c7dd, c6b0, c76e, c5d9, c826, c25c
lji[  13]:= 4421, 428a, c76e, c5d9, c826, c25c
lji[  14]:= 4977, 4922, c76e, c5d9, c826, c25c
lji[  15]:= c542, c43a, c76e, c5d9, c826, c25c
lji[  16]:= 49a2, 4a40, c76e, c5d9, c826, c25c
lji[  17]:= 453f, 4564, c76e, c5d9, c826, c25c
lji[  18]:= c583, cc02, c76e, c5d9, c826, c25c
lji[  19]:= 4b39, 4491, c76e, c5d9, c826, c25c
lji[  20]:= 4aa9, 47cc, c76e, c5d9, c826, c25c
lji[  21]:= 40e4, 3f11, c76e, c5d9, c826, c25c
lji[  22]:= 48f6, 472d, c76e, c5d9, c826, c25c
lji[  23]:= 4477, 3f93, c76e, c5d9, c826, c25c
lji[  24]:= 4b0a, 4802, c76e, c5d9, c826, c25c
lji[  25]:= c8f3, c797, c76e, c5d9, c826, c25c
lji[  26]:= 46e3, 4a04, c76e, c5d9, c826, c25c
lji[  27]:= c9a7, c978, c76e, c5d9, c826, c25c
lji[  28]:= 48de, 4866, c76e, c5d9, c826, c25c
lji[  29]:= 488e, 4487, c76e, c5d9, c826, c25c
lji[  30]:= 3cd9, 3d20, c76e, c5d9, c826, c25c
lji[  31]:= 46c2, 4adb, c76e, c5d9, c826, c25c
lji[  32]:= 4651, 466d, c76e, c5d9, c826, c25c
lji[  33]:= c4c1, c7d8, c76e, c5d9, c826, c25c
lji[  34]:= c80b, c8ea, c76e, c5d9, c826, c25c
lji[  35]:= 461c, 44e4, c76e, c5d9, c826, c25c
lji[  36]:= c2eb, c41d, c76e, c5d9, c826, c25c
lji[  37]:= 493a, 4a76, c76e, c5d9, c826, c25c
lji[  38]:= 47e1, 4818, c76e, c5d9, c826, c25c
lji[  39]:= c504, bbb8, c76e, c5d9, c826, c25c
lji[  40]:= 47fe, 4737, c76e, c5d9, c826, c25c
lji[  41]:= c833, c604, c76e, c5d9, c826, c25c
lji[  42]:= c4ee, 44b9, c76e, c5d9, c826, c25c
lji[  43]:= c6e5, c5cb, c76e, c5d9, c826, c25c
lji[  44]:= 4120, 3e6a, c76e, c5d9, c826, c25c
lji[  45]:= 4082, 4368, c76e, c5d9, c826, c25c
lji[  46]:= c7c0, c566, c76e, c5d9, c826, c25c
lji[  47]:= 49df, 4610, c76e, c5d9, c826, c25c
lji[  48]:= 44ee, 4850, c76e, c5d9, c826, c25c
lji[  49]:= c5de, c688, c76e, c5d9, c826, c25c
lji[  50]:= c8df, c9f4, c76e, c5d9, c826, c25c
lji[  51]:= bd32, bb5b, c76e, c5d9, c826, c25c
lji[  52]:= c60f, c4f3, c76e, c5d9, c826, c25c
lji[  53]:= 42c8, 46d8, c76e, c5d9, c826, c25c
lji[  54]:= 49a3, 4c0a, c76e, c5d9, c826, c25c
lji[  55]:= c6ac, c496, c76e, c5d9, c826, c25c
lji[  56]:= 4c2d, 4d35, c76e, c5d9, c826, c25c
lji[  57]:= c8af, c5dc, c76e, c5d9, c826, c25c
lji[  58]:= c44e, c772, c76e, c5d9, c826, c25c
lji[  59]:= c48a, c11e, c76e, c5d9, c826, c25c
lji[  60]:= 4735, 4816, c76e, c5d9, c826, c25c
lji[  61]:= ca80, ca8d, c76e, c5d9, c826, c25c
lji[  62]:= 4a15, 497d, c76e, c5d9, c826, c25c
lji[  63]:= 481d, 4918, c76e, c5d9, c826, c25c
lji[  64]:= 493c, 45a0, c76e, c5d9, c826, c25c
lji[  65]:= ca10, cad4, c76e, c5d9, c826, c25c
lji[  66]:= c6fc, c506, c76e, c5d9, c826, c25c
lji[  67]:= c4b4, c73e, c76e, c5d9, c826, c25c
lji[  68]:= cb8a, ca24, c76e, c5d9, c826, c25c
lji[  69]:= 46e3, 4611, c76e, c5d9, c826, c25c
lji[  70]:= 4bea, 4aae, c76e, c5d9, c826, c25c
lji[  71]:= c212, c858, c76e, c5d9, c826, c25c
lji[  72]:= 4839, 475f, c76e, c5d9, c826, c25c
lji[  73]:= 462e, 4427, c76e, c5d9, c826, c25c
lji[  74]:= c805, c8bb, c76e, c5d9, c826, c25c
lji[  75]:= 482e, 439f, c76e, c5d9, c826, c25c
lji[  76]:= be13, 3e72, c76e, c5d9, c826, c25c
lji[  77]:= 47c1, 4165, c76e, c5d9, c826, c25c
lji[  78]:= 4551, 47aa, c76e, c5d9, c826, c25c
lji[  79]:= c50e, c698, c76e, c5d9, c826, c25c
lji[  80]:= 3e40, c0e5, c76e, c5d9, c826, c25c
lji[  81]:= c946, bb70, c76e, c5d9, c826, c25c
lji[  82]:= 429f, 43ef, c76e, c5d9, c826, c25c
lji[  83]:= 475d, 4652, c76e, c5d9, c826, c25c
lji[  84]:= 4572, 45a4, c76e, c5d9, c826, c25c
lji[  85]:= 45c4, 459b, c76e, c5d9, c826, c25c
lji[  86]:= c4b5, c900, c76e, c5d9, c826, c25c
lji[  87]:= cbf1, c6ee, c76e, c5d9, c826, c25c
lji[  88]:= be03, c208, c76e, c5d9, c826, c25c
lji[  89]:= c84c, c5e3, c76e, c5d9, c826, c25c
lji[  90]:= 448f, 486d, c76e, c5d9, c826, c25c
lji[  91]:= 37ef, 4022, c76e, c5d9, c826, c25c
lji[  92]:= c453, c566, c76e, c5d9, c826, c25c
lji[  93]:= 41ae, bb48, c76e, c5d9, c826, c25c
lji[  94]:= 4922, 4922, c76e, c5d9, c826, c25c
lji[  95]:= 4a9e, 4a92, c76e, c5d9, c826, c25c
lji[  96]:= 498d, 49b4, c76e, c5d9, c826, c25c
lji[  97]:= c452, c430, c76e, c5d9, c826, c25c
lji[  98]:= c39b, c304, c76e, c5d9, c826, c25c
lji[  99]:= 4998, 4910, c76e, c5d9, c826, c25c
lji[ 100]:= 4084, 4100, c76e, c5d9, c826, c25c
lji[ 101]:= c992, c8c2, c76e, c5d9, c826, c25c
lji[ 102]:= 47cc, 48d8, c76e, c5d9, c826, c25c
lji[ 103]:= c5a4, c84a, c76e, c5d9, c826, c25c
lji[ 104]:= 44f0, 44fd, c76e, c5d9, c826, c25c
lji[ 105]:= c849, c977, c76e, c5d9, c826, c25c
lji[ 106]:= c1ec, c992, c76e, c5d9, c826, c25c
lji[ 107]:= b4ef, 3853, c76e, c5d9, c826, c25c
lji[ 108]:= 47ea, 4908, c76e, c5d9, c826, c25c
lji[ 109]:= 4797, 3ae8, c76e, c5d9, c826, c25c
lji[ 110]:= c811, c55f, c76e, c5d9, c826, c25c
