lji[   0]:= 4632, 49a6, c80c, c8f2, c595, c498
lji[   1]:= c872, c905, c80c, c8f2, c595, c498
lji[   2]:= c212, 44b8, c80c, c8f2, c595, c498
lji[   3]:= 44fc, c3fd, c80c, c8f2, c595, c498
lji[   4]:= 4c4f, 4c94, c80c, c8f2, c595, c498
lji[   5]:= c629, c251, c80c, c8f2, c595, c498
lji[   6]:= 4a5b, 4ca5, c80c, c8f2, c595, c498
lji[   7]:= 4898, 4149, c80c, c8f2, c595, c498
lji[   8]:= 4722, 4870, c80c, c8f2, c595, c498
lji[   9]:= 4646, 3f38, c80c, c8f2, c595, c498
lji[  10]:= c95c, c12e, c80c, c8f2, c595, c498
lji[  11]:= c8aa, c7a5, c80c, c8f2, c595, c498
lji[  12]:= c803, c318, c80c, c8f2, c595, c498
lji[  13]:= 4585, 41aa, c80c, c8f2, c595, c498
lji[  14]:= 4a22, 497d, c80c, c8f2, c595, c498
lji[  15]:= bcc7, c5bc, c80c, c8f2, c595, c498
lji[  16]:= 4a4a, 4848, c80c, c8f2, c595, c498
lji[  17]:= 46a1, 4629, c80c, c8f2, c595, c498
lji[  18]:= ca3c, cb98, c80c, c8f2, c595, c498
lji[  19]:= 4aec, 4807, c80c, c8f2, c595, c498
lji[  20]:= 4a44, 4686, c80c, c8f2, c595, c498
lji[  21]:= b1e0, 432c, c80c, c8f2, c595, c498
lji[  22]:= 49e8, 479c, c80c, c8f2, c595, c498
lji[  23]:= 4818, 425e, c80c, c8f2, c595, c498
lji[  24]:= 49a9, 48e6, c80c, c8f2, c595, c498
lji[  25]:= ca7a, c4f2, c80c, c8f2, c595, c498
lji[  26]:= 483e, 4b48, c80c, c8f2, c595, c498
lji[  27]:= c884, c866, c80c, c8f2, c595, c498
lji[  28]:= 4a9b, 475c, c80c, c8f2, c595, c498
lji[  29]:= 4838, 454b, c80c, c8f2, c595, c498
lji[  30]:= 44c3, 441a, c80c, c8f2, c595, c498
lji[  31]:= 4957, 4bbc, c80c, c8f2, c595, c498
lji[  32]:= 4760, 4432, c80c, c8f2, c595, c498
lji[  33]:= cb94, c918, c80c, c8f2, c595, c498
lji[  34]:= c887, c87e, c80c, c8f2, c595, c498
lji[  35]:= 49a8, 4951, c80c, c8f2, c595, c498
lji[  36]:= c094, c0e4, c80c, c8f2, c595, c498
lji[  37]:= 4871, 48aa, c80c, c8f2, c595, c498
lji[  38]:= 4900, 4808, c80c, c8f2, c595, c498
lji[  39]:= c464, c8c6, c80c, c8f2, c595, c498
lji[  40]:= 481e, 4583, c80c, c8f2, c595, c498
lji[  41]:= c7e7, c724, c80c, c8f2, c595, c498
lji[  42]:= c443, c448, c80c, c8f2, c595, c498
lji[  43]:= c5e1, c976, c80c, c8f2, c595, c498
lji[  44]:= 4004, 30a8, c80c, c8f2, c595, c498
lji[  45]:= be68, 41d3, c80c, c8f2, c595, c498
lji[  46]:= c6dc, b90a, c80c, c8f2, c595, c498
lji[  47]:= 47ee, 4852, c80c, c8f2, c595, c498
lji[  48]:= 48a7, 4a3c, c80c, c8f2, c595, c498
lji[  49]:= cb33, c0ca, c80c, c8f2, c595, c498
lji[  50]:= c990, ca86, c80c, c8f2, c595, c498
lji[  51]:= bec6, 3453, c80c, c8f2, c595, c498
lji[  52]:= c5e8, c873, c80c, c8f2, c595, c498
lji[  53]:= 42b3, 4492, c80c, c8f2, c595, c498
lji[  54]:= 4a9a, 4bc6, c80c, c8f2, c595, c498
lji[  55]:= c9f4, be7a, c80c, c8f2, c595, c498
lji[  56]:= 4c20, 4b98, c80c, c8f2, c595, c498
lji[  57]:= cb25, c90d, c80c, c8f2, c595, c498
lji[  58]:= be86, c6c9, c80c, c8f2, c595, c498
lji[  59]:= c51a, c56a, c80c, c8f2, c595, c498
lji[  60]:= 4a4b, 44c5, c80c, c8f2, c595, c498
lji[  61]:= cbc2, cab4, c80c, c8f2, c595, c498
lji[  62]:= 49c2, 491a, c80c, c8f2, c595, c498
lji[  63]:= 47ed, 4be0, c80c, c8f2, c595, c498
lji[  64]:= 4136, 4881, c80c, c8f2, c595, c498
lji[  65]:= c9c1, cae3, c80c, c8f2, c595, c498
lji[  66]:= c4d4, c45f, c80c, c8f2, c595, c498
lji[  67]:= c6b3, c164, c80c, c8f2, c595, c498
lji[  68]:= cb0c, c856, c80c, c8f2, c595, c498
lji[  69]:= 4505, 498e, c80c, c8f2, c595, c498
lji[  70]:= 4b49, 4a97, c80c, c8f2, c595, c498
lji[  71]:= c311, c670, c80c, c8f2, c595, c498
lji[  72]:= 4677, 4aac, c80c, c8f2, c595, c498
lji[  73]:= 4555, 468c, c80c, c8f2, c595, c498
